EnrollmentID,StudentID,CourseID,Semester,Year,Grade
1,1039,COURSE47,Spring,2019,F
2,1053,COURSE3,Spring,2022,C
3,1369,COURSE27,Spring,2022,B
4,1202,COURSE22,Summer,2020,D
5,1163,COURSE43,Fall,2020,C
6,1307,COURSE26,Spring,2019,B
7,1474,COURSE38,Summer,2020,F
8,1031,COURSE50,Spring,2020,C
9,1340,COURSE38,Spring,2023,F
10,1374,COURSE16,Spring,2022,A
11,1496,COURSE26,Fall,2023,B
12,1197,COURSE38,Spring,2024,C
13,1374,COURSE23,Spring,2019,B
14,1493,COURSE31,Fall,2023,A
15,1039,COURSE9,Summer,2022,A
16,1001,COURSE18,Spring,2021,B
17,1139,COURSE13,Fall,2019,B
18,1365,COURSE18,Fall,2022,A
19,1106,COURSE28,Summer,2020,F
20,1117,COURSE19,Summer,2024,B
21,1321,COURSE11,Fall,2023,B
22,1351,COURSE6,Fall,2023,D
23,1446,COURSE10,Spring,2020,A
24,1335,COURSE27,Fall,2021,C
25,1234,COURSE2,Summer,2020,D
26,1420,COURSE46,Fall,2019,C
27,1039,COURSE49,Summer,2020,C
28,1458,COURSE35,Fall,2022,A
29,1256,COURSE46,Summer,2020,A
30,1405,COURSE17,Fall,2019,D
31,1387,COURSE49,Spring,2019,B
32,1114,COURSE18,Fall,2020,F
33,1055,COURSE41,Spring,2021,F
34,1060,COURSE24,Spring,2023,A
35,1316,COURSE41,Spring,2021,C
36,1271,COURSE17,Fall,2020,F
37,1314,COURSE13,Summer,2024,A
38,1388,COURSE18,Summer,2022,A
39,1180,COURSE25,Summer,2019,C
40,1103,COURSE34,Spring,2022,A
41,1245,COURSE4,Fall,2019,F
42,1109,COURSE26,Spring,2021,A
43,1400,COURSE31,Fall,2021,A
44,1003,COURSE18,Summer,2020,C
45,1319,COURSE36,Fall,2020,D
46,1325,COURSE30,Fall,2019,A
47,1426,COURSE30,Spring,2019,C
48,1050,COURSE42,Spring,2020,B
49,1333,COURSE47,Summer,2019,D
50,1271,COURSE18,Spring,2019,A
51,1370,COURSE24,Summer,2024,D
52,1243,COURSE33,Fall,2023,B
53,1430,COURSE41,Fall,2023,D
54,1456,COURSE10,Fall,2023,B
55,1151,COURSE48,Summer,2024,C
56,1439,COURSE33,Spring,2019,C
57,1324,COURSE43,Spring,2024,D
58,1293,COURSE39,Summer,2019,B
59,1427,COURSE42,Fall,2023,A
60,1249,COURSE46,Summer,2020,A
61,1196,COURSE27,Summer,2022,C
62,1333,COURSE44,Fall,2020,F
63,1169,COURSE38,Fall,2022,D
64,1149,COURSE45,Fall,2021,A
65,1117,COURSE6,Fall,2019,D
66,1043,COURSE12,Spring,2019,B
67,1448,COURSE5,Spring,2024,C
68,1414,COURSE24,Spring,2023,B
69,1267,COURSE41,Spring,2022,B
70,1458,COURSE2,Summer,2020,A
71,1340,COURSE27,Fall,2024,B
72,1126,COURSE34,Summer,2023,D
73,1245,COURSE20,Summer,2020,D
74,1249,COURSE32,Spring,2023,A
75,1138,COURSE37,Spring,2024,D
76,1178,COURSE49,Summer,2023,D
77,1039,COURSE24,Spring,2020,F
78,1169,COURSE31,Summer,2022,F
79,1104,COURSE9,Spring,2022,F
80,1019,COURSE26,Fall,2023,B
81,1196,COURSE22,Summer,2024,A
82,1163,COURSE3,Spring,2019,B
83,1359,COURSE1,Summer,2024,B
84,1162,COURSE18,Fall,2021,A
85,1407,COURSE39,Spring,2020,A
86,1279,COURSE41,Spring,2024,C
87,1309,COURSE12,Fall,2024,D
88,1143,COURSE37,Spring,2024,C
89,1191,COURSE22,Spring,2020,C
90,1047,COURSE42,Summer,2024,A
91,1475,COURSE24,Summer,2020,F
92,1450,COURSE22,Spring,2024,C
93,1400,COURSE3,Summer,2021,D
94,1220,COURSE30,Spring,2022,A
95,1282,COURSE38,Summer,2023,D
96,1486,COURSE43,Summer,2019,F
97,1146,COURSE10,Fall,2023,A
98,1113,COURSE14,Fall,2023,D
99,1446,COURSE19,Summer,2024,D
100,1467,COURSE30,Fall,2020,D
101,1283,COURSE36,Fall,2021,D
102,1445,COURSE40,Summer,2024,F
103,1252,COURSE2,Fall,2022,A
104,1163,COURSE13,Fall,2020,D
105,1175,COURSE39,Summer,2020,B
106,1277,COURSE3,Spring,2019,C
107,1410,COURSE15,Summer,2022,F
108,1314,COURSE13,Fall,2022,D
109,1495,COURSE34,Spring,2019,B
110,1198,COURSE34,Summer,2019,B
111,1436,COURSE25,Spring,2020,A
112,1115,COURSE28,Fall,2024,C
113,1092,COURSE19,Summer,2023,A
114,1205,COURSE5,Summer,2022,D
115,1433,COURSE20,Summer,2019,A
116,1152,COURSE27,Spring,2024,D
117,1137,COURSE31,Summer,2024,A
118,1274,COURSE19,Spring,2023,B
119,1106,COURSE12,Fall,2020,B
120,1197,COURSE5,Spring,2020,A
121,1262,COURSE4,Spring,2021,D
122,1015,COURSE49,Summer,2021,D
123,1178,COURSE33,Spring,2024,A
124,1106,COURSE27,Summer,2024,D
125,1292,COURSE26,Summer,2022,B
126,1349,COURSE23,Fall,2023,B
127,1499,COURSE38,Summer,2020,A
128,1302,COURSE15,Spring,2022,B
129,1098,COURSE2,Summer,2020,A
130,1225,COURSE7,Fall,2019,C
131,1034,COURSE9,Spring,2020,B
132,1217,COURSE4,Summer,2019,F
133,1152,COURSE4,Spring,2022,F
134,1298,COURSE4,Fall,2021,D
135,1273,COURSE48,Spring,2024,A
136,1428,COURSE31,Spring,2024,F
137,1281,COURSE32,Spring,2022,C
